Date,Emission M14,Land Surface Temperature Day,Land Surface Temp Night
2023-10-05,0.49,0.0,298.4
2023-10-06,0.49,0.0,0.0
2023-10-07,0.49,0.0,0.0
2023-10-08,0.49,0.0,0.0
2023-10-09,0.49,0.0,0.0
2023-10-10,0.49,0.0,0.0
2023-10-11,0.49,0.0,0.0
2023-10-12,0.976,306.62,0.0
2023-10-13,0.984,307.3,294.72
2023-10-14,0.49,0.0,0.0
2023-10-15,0.49,0.0,0.0
2023-10-16,0.49,0.0,0.0
2023-10-17,0.98,300.74,287.38
2023-10-18,0.976,304.06,289.12
2023-10-19,0.964,309.94,0.0
2023-10-20,0.98,309.68,0.0
2023-10-21,0.978,308.2,289.96
2023-10-22,0.968,307.46,0.0
2023-10-23,0.49,0.0,296.6
2023-10-24,0.97,302.12,298.08
2023-10-25,0.49,0.0,0.0
2023-10-26,0.49,0.0,0.0
2023-10-27,0.952,310.12,299.28
2023-10-28,0.978,307.78,298.1
2023-10-29,0.98,299.92,296.86
2023-10-30,0.49,0.0,0.0
2023-10-31,0.49,0.0,0.0
2023-11-02,0.49,0.0,0.0
2023-11-03,0.49,0.0,0.0
2023-11-04,0.49,0.0,288.74
2023-11-05,0.974,305.02,0.0
2023-11-06,0.978,306.58,290.98
2023-11-07,0.49,0.0,0.0
2023-11-08,0.96,309.18,294.08
2023-11-09,0.49,0.0,0.0
2023-11-10,0.49,0.0,0.0
2023-11-11,0.49,0.0,0.0
2023-11-12,0.49,0.0,0.0
2023-11-13,0.49,0.0,0.0
2023-11-14,0.49,0.0,0.0
2023-11-15,0.49,0.0,0.0
2023-11-16,0.98,300.8,0.0
2023-11-17,0.978,303.88,288.12
2023-11-18,0.976,303.54,291.02
2023-11-19,0.49,0.0,290.3
2023-11-20,0.968,298.9,290.64
2023-11-21,0.49,0.0,0.0
2023-11-22,0.49,0.0,0.0
2023-11-23,0.982,293.88,0.0
2023-11-24,0.49,0.0,283.64
2023-11-25,0.49,0.0,0.0
2023-11-26,0.49,0.0,0.0
2023-11-27,0.49,0.0,0.0
2023-11-28,0.49,0.0,0.0
2023-11-29,0.49,0.0,0.0
2023-11-30,0.982,296.54,0.0
2023-12-01,0.49,0.0,0.0
2023-12-02,0.49,0.0,0.0
2023-12-03,0.49,0.0,0.0
2023-12-04,0.49,0.0,0.0
2023-12-05,0.49,0.0,0.0
2023-12-06,0.49,0.0,0.0
2023-12-07,0.49,0.0,0.0
2023-12-08,0.984,302.0,0.0
2023-12-09,0.978,304.5,288.96
2023-12-10,0.982,293.32,287.82
2023-12-11,0.49,0.0,0.0
2023-12-12,0.49,0.0,0.0
2023-12-13,0.49,0.0,0.0
2023-12-14,0.49,0.0,0.0
2023-12-15,0.49,0.0,289.22
2023-12-16,0.974,295.08,0.0
2023-12-17,0.97,299.84,281.92
2023-12-18,0.974,297.7,284.46
2023-12-19,0.49,0.0,283.02
2023-12-20,0.49,0.0,284.48
2023-12-21,0.49,0.0,0.0
2023-12-22,0.49,0.0,0.0
2023-12-23,0.49,0.0,0.0
2023-12-24,0.984,301.8,0.0
2023-12-25,0.49,0.0,0.0
2023-12-26,0.49,0.0,0.0
2023-12-27,0.978,295.62,0.0
2023-12-28,0.97,295.76,283.46
2023-12-29,0.978,295.42,281.76
2023-12-30,0.98,297.66,281.2
2023-12-31,0.98,295.86,280.34
2024-01-01,0.49,0.0,0.0
2024-01-02,0.49,0.0,0.0
2024-01-03,0.978,295.8,0.0
2024-01-04,0.49,0.0,0.0
