Latitude,Longitude,Date,Emission M14,Land Surface Temperature Day
25.258,-99.682,10/5/2023,0.49,0
25.258,-99.682,10/6/2023,0.49,0
25.258,-99.682,10/7/2023,0.49,0
25.258,-99.682,10/8/2023,0.49,0
25.258,-99.682,10/9/2023,0.49,0
25.258,-99.682,10/10/2023,0.49,0
25.258,-99.682,10/11/2023,0.49,0
25.258,-99.682,10/12/2023,0.976,306.62
25.258,-99.682,10/13/2023,0.984,307.3
25.258,-99.682,10/14/2023,0.49,0
25.258,-99.682,10/15/2023,0.49,0
25.258,-99.682,10/16/2023,0.49,0
25.258,-99.682,10/17/2023,0.98,300.74
25.258,-99.682,10/18/2023,0.976,304.06
25.258,-99.682,10/19/2023,0.964,309.94
25.258,-99.682,10/20/2023,0.98,309.68
25.258,-99.682,10/21/2023,0.978,308.2
25.258,-99.682,10/22/2023,0.968,307.46
25.258,-99.682,10/23/2023,0.49,0
25.258,-99.682,10/24/2023,0.97,302.12
25.258,-99.682,10/25/2023,0.49,0
25.258,-99.682,10/26/2023,0.49,0
25.258,-99.682,10/27/2023,0.952,310.12
25.258,-99.682,10/28/2023,0.978,307.78
25.258,-99.682,10/29/2023,0.98,299.92
25.258,-99.682,10/30/2023,0.49,0
25.258,-99.682,10/31/2023,0.49,0
25.258,-99.682,11/2/2023,0.49,0
25.258,-99.682,11/3/2023,0.49,0
25.258,-99.682,11/4/2023,0.49,0
25.258,-99.682,11/5/2023,0.974,305.02
25.258,-99.682,11/6/2023,0.978,306.58
25.258,-99.682,11/7/2023,0.49,0
25.258,-99.682,11/8/2023,0.96,309.18
25.258,-99.682,11/9/2023,0.49,0
25.258,-99.682,11/10/2023,0.49,0
25.258,-99.682,11/11/2023,0.49,0
25.258,-99.682,11/12/2023,0.49,0
25.258,-99.682,11/13/2023,0.49,0
25.258,-99.682,11/14/2023,0.49,0
25.258,-99.682,11/15/2023,0.49,0
25.258,-99.682,11/16/2023,0.98,300.8
25.258,-99.682,11/17/2023,0.978,303.88
25.258,-99.682,11/18/2023,0.976,303.54
25.258,-99.682,11/19/2023,0.49,0
25.258,-99.682,11/20/2023,0.968,298.9
25.258,-99.682,11/21/2023,0.49,0
25.258,-99.682,11/22/2023,0.49,0
25.258,-99.682,11/23/2023,0.982,293.88
25.258,-99.682,11/24/2023,0.49,0
25.258,-99.682,11/25/2023,0.49,0
25.258,-99.682,11/26/2023,0.49,0
25.258,-99.682,11/27/2023,0.49,0
25.258,-99.682,11/28/2023,0.49,0
25.258,-99.682,11/29/2023,0.49,0
25.258,-99.682,11/30/2023,0.982,296.54
25.258,-99.682,12/1/2023,0.49,0
25.258,-99.682,12/2/2023,0.49,0
25.258,-99.682,12/3/2023,0.49,0
25.258,-99.682,12/4/2023,0.49,0
25.258,-99.682,12/5/2023,0.49,0
25.258,-99.682,12/6/2023,0.49,0
25.258,-99.682,12/7/2023,0.49,0
25.258,-99.682,12/8/2023,0.984,302
25.258,-99.682,12/9/2023,0.978,304.5
25.258,-99.682,12/10/2023,0.982,293.32
25.258,-99.682,12/11/2023,0.49,0
25.258,-99.682,12/12/2023,0.49,0
25.258,-99.682,12/13/2023,0.49,0
25.258,-99.682,12/14/2023,0.49,0
25.258,-99.682,12/15/2023,0.49,0
25.258,-99.682,12/16/2023,0.974,295.08
25.258,-99.682,12/17/2023,0.97,299.84
25.258,-99.682,12/18/2023,0.974,297.7
25.258,-99.682,12/19/2023,0.49,0
25.258,-99.682,12/20/2023,0.49,0
25.258,-99.682,12/21/2023,0.49,0
25.258,-99.682,12/22/2023,0.49,0
25.258,-99.682,12/23/2023,0.49,0
25.258,-99.682,12/24/2023,0.984,301.8
25.258,-99.682,12/25/2023,0.49,0
25.258,-99.682,12/26/2023,0.49,0
25.258,-99.682,12/27/2023,0.978,295.62
25.258,-99.682,12/28/2023,0.97,295.76
25.258,-99.682,12/29/2023,0.978,295.42
25.258,-99.682,12/30/2023,0.98,297.66
25.258,-99.682,12/31/2023,0.98,295.86
25.258,-99.682,1/1/2024,0.49,0
25.258,-99.682,1/2/2024,0.49,0
25.258,-99.682,1/3/2024,0.978,295.8
25.258,-99.682,1/4/2024,0.49,0
25.258,-99.682,1/5/2024,0.98,295.9
25.258,-99.682,1/6/2024,0.98,296.44
25.258,-99.682,1/7/2024,0.976,296.22
25.258,-99.682,1/8/2024,0.978,302.64
25.258,-99.682,1/9/2024,0.49,0
25.258,-99.682,1/10/2024,0.49,0
25.258,-99.682,1/11/2024,0.49,0
25.258,-99.682,1/12/2024,0.976,295.12
25.258,-99.682,1/13/2024,0.978,295.96
25.258,-99.682,1/14/2024,0.978,300.02
25.258,-99.682,1/15/2024,0.49,0
25.258,-99.682,1/16/2024,0.49,0
25.258,-99.682,1/17/2024,0.49,0
25.258,-99.682,1/18/2024,0.49,0
25.258,-99.682,1/19/2024,0.49,0
25.258,-99.682,1/20/2024,0.49,0
25.258,-99.682,1/21/2024,0.49,0
25.258,-99.682,1/22/2024,0.49,0
25.258,-99.682,1/23/2024,0.49,0
25.258,-99.682,1/24/2024,0.49,0
25.258,-99.682,1/25/2024,0.49,0
25.258,-99.682,1/26/2024,0.98,300.48
25.258,-99.682,1/27/2024,0.966,301.14
25.258,-99.682,1/28/2024,0.978,297.64
25.258,-99.682,1/29/2024,0.49,0
25.258,-99.682,1/30/2024,0.49,0
25.258,-99.682,1/31/2024,0.49,0
25.258,-99.682,2/1/2024,0.49,0
25.258,-99.682,2/2/2024,0.966,306.56
25.258,-99.682,2/3/2024,0.97,306.48
25.258,-99.682,2/4/2024,0.978,306.94
25.258,-99.682,2/5/2024,0.98,304.58
25.258,-99.682,2/6/2024,0.982,302.44
25.258,-99.682,2/7/2024,0.98,300.5
25.258,-99.682,2/8/2024,0.982,306.2
25.258,-99.682,2/9/2024,0.974,302.82
25.258,-99.682,2/10/2024,0.49,0
25.258,-99.682,2/11/2024,0.49,0
25.258,-99.682,2/12/2024,0.49,0
25.258,-99.682,2/13/2024,0.49,0
25.258,-99.682,2/14/2024,0.49,0
25.258,-99.682,2/15/2024,0.49,0
25.258,-99.682,2/16/2024,0.49,0
25.258,-99.682,2/17/2024,0.49,0
25.258,-99.682,2/18/2024,0.964,289.18
25.258,-99.682,2/19/2024,0.976,301.84
25.258,-99.682,2/20/2024,0.982,306.32
25.258,-99.682,2/21/2024,0.98,307.54
25.258,-99.682,2/22/2024,0.976,300.86
25.258,-99.682,2/23/2024,0.972,297.88
25.258,-99.682,2/24/2024,0.49,0
25.258,-99.682,2/25/2024,0.982,312.12
25.258,-99.682,2/26/2024,0.984,310.54
25.258,-99.682,2/27/2024,0.49,0
25.258,-99.682,2/28/2024,0.976,303.86
25.258,-99.682,2/29/2024,0.49,0
25.258,-99.682,3/1/2024,0.966,303.04
25.258,-99.682,3/2/2024,0.98,308.5
25.258,-99.682,3/3/2024,0.49,0
25.258,-99.682,3/4/2024,0.49,0
25.258,-99.682,3/5/2024,0.98,308.84
25.258,-99.682,3/6/2024,0.49,0
25.258,-99.682,3/7/2024,0.49,0
25.258,-99.682,3/8/2024,0.49,0
25.258,-99.682,3/9/2024,0.49,0
25.258,-99.682,3/10/2024,0.49,0
25.258,-99.682,3/11/2024,0.982,303.28
25.258,-99.682,3/12/2024,0.49,0
25.258,-99.682,3/13/2024,0.98,313.3
25.258,-99.682,3/14/2024,0.49,0
25.258,-99.682,3/15/2024,0.982,310.64
25.258,-99.682,3/16/2024,0.49,0
25.258,-99.682,3/17/2024,0.49,0
25.258,-99.682,3/18/2024,0.49,0
25.258,-99.682,3/19/2024,0.49,0
25.258,-99.682,3/20/2024,0.49,0
25.258,-99.682,3/21/2024,0.49,0
25.258,-99.682,3/22/2024,0.962,306.78
25.258,-99.682,3/23/2024,0.978,307.34
25.258,-99.682,3/24/2024,0.976,309.2
25.258,-99.682,3/25/2024,0.97,309.02
25.258,-99.682,3/26/2024,0.968,306.84
25.258,-99.682,3/27/2024,0.49,0
25.258,-99.682,3/28/2024,0.978,310.9
25.258,-99.682,3/29/2024,0.984,310.3
25.258,-99.682,3/30/2024,0.978,311.58
25.258,-99.682,3/31/2024,0.978,311.28
25.258,-99.682,4/1/2024,0.49,0
25.258,-99.682,4/2/2024,0.976,313.76
25.258,-99.682,4/3/2024,0.978,312.18
25.258,-99.682,4/4/2024,0.972,310.16
25.258,-99.682,4/5/2024,0.978,311.82
25.258,-99.682,4/6/2024,0.974,310.68
25.258,-99.682,4/7/2024,0.49,0
25.258,-99.682,4/8/2024,0.49,0
25.258,-99.682,4/9/2024,0.49,0
25.258,-99.682,4/10/2024,0.966,312.16
25.258,-99.682,4/11/2024,0.976,308.2
25.258,-99.682,4/12/2024,0.49,0
25.258,-99.682,4/13/2024,0.49,0
25.258,-99.682,4/14/2024,0.984,315.96
25.258,-99.682,4/15/2024,0.49,0
25.258,-99.682,4/16/2024,0.49,0
25.258,-99.682,4/17/2024,0.49,0
25.258,-99.682,4/18/2024,0.49,0
25.258,-99.682,4/19/2024,0.978,318.14
25.258,-99.682,4/20/2024,0.49,0
25.258,-99.682,4/21/2024,0.49,0
25.258,-99.682,4/22/2024,0.49,0
25.258,-99.682,4/23/2024,0.982,299.7
25.258,-99.682,4/24/2024,0.49,0
25.258,-99.682,4/25/2024,0.972,308
25.258,-99.682,4/26/2024,0.978,316.16
25.258,-99.682,4/27/2024,0.974,308.04
25.258,-99.682,4/28/2024,0.968,297.06
25.258,-99.682,4/29/2024,0.976,312.3
25.258,-99.682,4/30/2024,0.49,0
25.258,-99.682,5/1/2024,0.986,309.8
25.258,-99.682,5/2/2024,0.49,0
25.258,-99.682,5/3/2024,0.49,0
25.258,-99.682,5/4/2024,0.49,0
25.258,-99.682,5/5/2024,0.98,314.58
25.258,-99.682,5/6/2024,0.49,0
25.258,-99.682,5/7/2024,0.49,0
25.258,-99.682,5/8/2024,0.49,0
25.258,-99.682,5/9/2024,0.49,0
25.258,-99.682,5/10/2024,0.49,0
25.258,-99.682,5/11/2024,0.49,0
25.258,-99.682,5/12/2024,0.49,0
