Latitude,Longitude,Date,Emissions M15,Land Surface Temp Night
25.258,-99.682,10/5/2023,0.986,298.4
25.258,-99.682,10/6/2023,0,0
25.258,-99.682,10/7/2023,0,0
25.258,-99.682,10/8/2023,0,0
25.258,-99.682,10/9/2023,0,0
25.258,-99.682,10/10/2023,0,0
25.258,-99.682,10/11/2023,0,0
25.258,-99.682,10/12/2023,0,0
25.258,-99.682,10/13/2023,0.968,294.72
25.258,-99.682,10/14/2023,0,0
25.258,-99.682,10/15/2023,0,0
25.258,-99.682,10/16/2023,0,0
25.258,-99.682,10/17/2023,0.976,287.38
25.258,-99.682,10/18/2023,0.974,289.12
25.258,-99.682,10/19/2023,0,0
25.258,-99.682,10/20/2023,0,0
25.258,-99.682,10/21/2023,0.982,289.96
25.258,-99.682,10/22/2023,0,0
25.258,-99.682,10/23/2023,0.974,296.6
25.258,-99.682,10/24/2023,0.958,298.08
25.258,-99.682,10/25/2023,0,0
25.258,-99.682,10/26/2023,0,0
25.258,-99.682,10/27/2023,0.958,299.28
25.258,-99.682,10/28/2023,0.954,298.1
25.258,-99.682,10/29/2023,0.936,296.86
25.258,-99.682,10/30/2023,0,0
25.258,-99.682,10/31/2023,0,0
25.258,-99.682,11/1/2023,0,0
25.258,-99.682,11/3/2023,0,0
25.258,-99.682,11/4/2023,0.97,288.74
25.258,-99.682,11/5/2023,0,0
25.258,-99.682,11/6/2023,0.972,290.98
25.258,-99.682,11/7/2023,0,0
25.258,-99.682,11/8/2023,0.976,294.08
25.258,-99.682,11/9/2023,0,0
25.258,-99.682,11/10/2023,0,0
25.258,-99.682,11/11/2023,0,0
25.258,-99.682,11/12/2023,0,0
25.258,-99.682,11/13/2023,0,0
25.258,-99.682,11/14/2023,0,0
25.258,-99.682,11/15/2023,0,0
25.258,-99.682,11/16/2023,0,0
25.258,-99.682,11/17/2023,0.974,288.12
25.258,-99.682,11/18/2023,0.978,291.02
25.258,-99.682,11/19/2023,0.98,290.3
25.258,-99.682,11/20/2023,0.982,290.64
25.258,-99.682,11/21/2023,0,0
25.258,-99.682,11/22/2023,0,0
25.258,-99.682,11/23/2023,0,0
25.258,-99.682,11/24/2023,0.978,283.64
25.258,-99.682,11/25/2023,0,0
25.258,-99.682,11/26/2023,0,0
25.258,-99.682,11/27/2023,0,0
25.258,-99.682,11/28/2023,0,0
25.258,-99.682,11/29/2023,0,0
25.258,-99.682,11/30/2023,0,0
25.258,-99.682,12/1/2023,0,0
25.258,-99.682,12/2/2023,0,0
25.258,-99.682,12/3/2023,0,0
25.258,-99.682,12/4/2023,0,0
25.258,-99.682,12/5/2023,0,0
25.258,-99.682,12/6/2023,0,0
25.258,-99.682,12/7/2023,0,0
25.258,-99.682,12/8/2023,0,0
25.258,-99.682,12/9/2023,0.98,288.96
25.258,-99.682,12/10/2023,0.982,287.82
25.258,-99.682,12/11/2023,0,0
25.258,-99.682,12/12/2023,0,0
25.258,-99.682,12/13/2023,0,0
25.258,-99.682,12/14/2023,0,0
25.258,-99.682,12/15/2023,0.976,289.22
25.258,-99.682,12/16/2023,0,0
25.258,-99.682,12/17/2023,0.974,281.92
25.258,-99.682,12/18/2023,0.97,284.46
25.258,-99.682,12/19/2023,0.976,283.02
25.258,-99.682,12/20/2023,0.978,284.48
25.258,-99.682,12/21/2023,0,0
25.258,-99.682,12/22/2023,0,0
25.258,-99.682,12/23/2023,0,0
25.258,-99.682,12/24/2023,0,0
25.258,-99.682,12/25/2023,0,0
25.258,-99.682,12/26/2023,0,0
